CustomerKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,JON,YANG,4/8/1966,M,M,"$90,000 ",2,Bachelors,Professional,Y
11001,EUGENE,HUANG,5/14/1965,S,M,"$60,000 ",3,Bachelors,Professional,N
11002,RUBEN,TORRES,8/12/1965,M,M,"$60,000 ",3,Bachelors,Professional,Y
11003,CHRISTY,ZHU,2/15/1968,S,F,"$70,000 ",0,Bachelors,Professional,N
11004,ELIZABETH,JOHNSON,8/8/1968,S,F,"$80,000 ",5,Bachelors,Professional,Y
11005,JULIO,RUIZ,8/5/1965,S,M,"$70,000 ",0,Bachelors,Professional,Y
11007,MARCO,MEHTA,5/9/1964,M,M,"$60,000 ",3,Bachelors,Professional,Y
11008,ROBIN,VERHOFF,7/7/1964,S,F,"$60,000 ",4,Bachelors,Professional,Y
11009,SHANNON,CARLSON,4/1/1964,S,M,"$70,000 ",0,Bachelors,Professional,N
11010,JACQUELYN,SUAREZ,2/6/1964,S,F,"$70,000 ",0,Bachelors,Professional,N
11011,CURTIS,LU,11/4/1963,M,M,"$60,000 ",4,Bachelors,Professional,Y
11012,LAUREN,WALKER,1/18/1968,M,F,"$100,000 ",2,Bachelors,Management,Y
11013,IAN,JENKINS,8/6/1968,M,M,"$100,000 ",2,Bachelors,Management,Y
11014,SYDNEY,BENNETT,5/9/1968,S,F,"$100,000 ",3,Bachelors,Management,N
11015,CHLOE,YOUNG,2/27/1979,S,F,"$30,000 ",0,Partial College,Skilled Manual,N
11016,WYATT,HILL,4/28/1979,M,M,"$30,000 ",0,Partial College,Skilled Manual,Y
11017,SHANNON,WANG,6/26/1944,S,F,"$20,000 ",4,High School,Skilled Manual,Y
11018,CLARENCE,RAI,10/9/1944,S,M,"$30,000 ",2,Partial College,Clerical,Y
11019,LUKE,LAL,3/7/1978,S,M,"$40,000 ",0,High School,Skilled Manual,N
11020,JORDAN,KING,9/20/1978,S,M,"$40,000 ",0,High School,Skilled Manual,N
11021,DESTINY,WILSON,9/3/1978,S,F,"$40,000 ",0,Partial College,Skilled Manual,N
11022,ETHAN,ZHANG,10/12/1978,M,M,"$40,000 ",0,Partial College,Skilled Manual,Y
